Key,barchart,linechart,scatter-plot,heatmap,piechart,key-value,pagination-table,scroll-table,column-tree,ontology-browser,sunburst,tree,treemap,chord-diagram,force-graph,layered-graph,scorecard,text,breadcrumbs,venn-diagram,named-map,histogram
"api_endpoint",,,,,,,,,,○,,,,,,,,,,,,
"area-color_blend",,,,,,,,,,,,,,,,,,,,○,,
"area-color_key",,,,,,,,,,,,,,,,,,,,,○,
"area-color_max",,,,,,,,,,,,,,,,,,,,,○,
"area-color_mid",,,,,,,,,,,,,,,,,,,,,○,
"area-color_min",,,,,,,,,,,,,,,,,,,,,○,
"area-color_value",,,,,,,,,,,,,,,,,,,,,○,
"area-value_max",,,,,,,,,,,,,,,,,,,,,○,
"area-value_mid",,,,,,,,,,,,,,,,,,,,,○,
"area-value_min",,,,,,,,,,,,,,,,,,,,,○,
"axis-x-gridlines_interval",○,○,○,,,,,,,,,,,,,,,,,,,○
"axis-x-gridlines_interval_units",,,○,,,,,,,,,,,,,,,,,,,
"axis-x-key",○,○,○,○,,,,,,,,,,,,,,,,,,○
"axis-x-placement",○,○,,○,,,,,,,,,,,,,,,,,,○
"axis-x-scale",,○,○,,,,,,,,,,,,,,,,,,,
"axis-x-ticks_interval",○,○,○,,,,,,,,,,,,,,,,,,,○
"axis-x-ticks_label_angle",○,○,○,○,,,,,,,,,,,,,,,,,,○
"axis-x-ticks_labels_format",○,○,○,,,,,,,,,,,,,,,,,,,○
"axis-x-title",○,○,○,○,,,,,,,,,,,,,,,,,,○
"axis-x-title_padding",○,○,○,○,,,,,,,,,,,,,,,,,,○
"axis-y-gridlines_interval",○,○,○,,,,,,,,,,,,,,,,,,,○
"axis-y-key",○,○,○,○,,,,,,,,,,,,,,,,,,
"axis-y-placement",○,○,,○,,,,,,,,,,,,,,,,,,○
"axis-y-range_max",,○,,,,,,,,,,,,,,,,,,,,
"axis-y-range_min",,○,,,,,,,,,,,,,,,,,,,,
"axis-y-scale",,○,○,,,,,,,,,,,,,,,,,,,
"axis-y-ticks_interval",○,○,○,,,,,,,,,,,,,,,,,,,○
"axis-y-ticks_label_angle",○,○,○,○,,,,,,,,,,,,,,,,,,○
"axis-y-ticks_labels_format",○,○,○,,,,,,,,,,,,,,,,,,,○
"axis-y-title",○,○,○,○,,,,,,,,,,,,,,,,,,○
"axis-y-title_padding",○,○,○,○,,,,,,,,,,,,,,,,,,○
"cell-color_key",,,,○,,,,,,,,,,,,,,,,,,
"cell-color_max",,,,○,,,,,,,,,,,,,,,,,,
"cell-color_mid",,,,○,,,,,,,,,,,,,,,,,,
"cell-color_min",,,,○,,,,,,,,,,,,,,,,,,
"cell-value_max",,,,○,,,,,,,,,,,,,,,,,,
"cell-value_mid",,,,○,,,,,,,,,,,,,,,,,,
"cell-value_min",,,,○,,,,,,,,,,,,,,,,,,
"color-key",,,,,○,,,,,,,,,,,,,,,,,
"columns",,,,,,○,○,○,,,,,,,,,,,,,,
"data-bin-count",,,,,,,,,,,,,,,,,,,,,,○
"data-category_key",,,,,○,,,,,,,,,,,,,,,,,
"data-edges_key",,,,,,,,,,,,,,○,○,○,,,,,,
"data-highlight_css_url",,,,,,,,,,,,,,,,,,○,,,,
"data-layer",,,,,,,,,,,,,,,,,,,,,○,
